 بیمارستان/مرکز,نوع,منطقه/آدرس,ویژگی,وضعیت تخت
بیمارستان شهید محمدی,عمومی-تخصصی,بلوار جمهوری اسلامی,بزرگترین بیمارستان دولتی,کمبود شدید تخت
بیمارستان سیدالشهدا,عمومی-تخصصی,بندرعباس,بیمارستان دولتی,کمبود تخت
بیمارستان خلیج فارس,عمومی-تخصصی,بندرعباس,بیمارستان دولتی,کمبود تخت
بیمارستان شریعتی,عمومی-تخصصی,بندرعباس,بیمارستان دولتی,کمبود تخت
بیمارستان کودکان بندرعباس,تخصصی-آموزشی کودکان,بندرعباس,تنها بیمارستان کودکان استان,محدود
بیمارستان سینا,خصوصی,بندرعباس,بیمارستان خصوصی,متوسط
بیمارستان نورنجات,خصوصی,بندرعباس,بیمارستان خصوصی,متوسط
بیمارستان ماتینی,خصوصی,بندرعباس,بیمارستان خصوصی,متوسط
بیمارستان امام خمینی (پایگاه اورژانس),عمومی,بندرعباس,پایگاه اورژانس 115,محدود
کلینیک تخصصی شهید رجایی,تخصصی صنعتی,نزدیک بندر شهید رجایی,خدمات درمانی کارکنان بندر,محدود
