 پارک/مکان تفریحی,نوع,موقعیت,ویژگی
پارک ساحلی بندرعباس,پارک ساحلی,ساحل شهر,پیاده‌رو ساحلی، محوطه پیک‌نیک، ورزش
باغ پرندگان بندرعباس,باغ‌وحش/پرندگان,بندرعباس,گونه‌های متنوع پرندگان
ساحل لارک,ساحل طبیعی,نزدیک بندرعباس,ساحل شنی، طبیعت بکر
پارک جنگلی هرمزگان,پارک جنگلی,بندرعباس,فضای سبز، محوطه استراحت
استادیوم تختی,ورزشگاه فوتبال,بندرعباس,ورزشگاه اصلی فوتبال
استادیوم شهید بهشتی,ورزشگاه چندمنظوره,بندرعباس,ورزشگاه چندمنظوره
سینما ستاره جنوب,سینما,مجتمع ستاره جنوب,سالن سینمای مدرن
سینما بندرعباس مال,سینما,بندرعباس مال,سالن سینمای مدرن
شهربازی ستاره جنوب,شهربازی,مجتمع ستاره جنوب,شهربازی سرپوشیده
اسکله شهید حقانی,اسکله تجاری,بلوار طالقانی,اسکله اصلی مسافری و تجاری
اسکله شهید رجایی,اسکله صنعتی,غرب بندرعباس,بندر کانتینری
اسکله مسافربری (قشم و هرمز),اسکله مسافربری,نزدیک بندر,لنگرگاه قایق‌های مسافربری
معبد هندوها,اثر تاریخی,بندرعباس,معبد هندوهای ساکن بندرعباس
حمام گله‌داری,اثر تاریخی,بندرعباس,حمام تاریخی دوره قاجار
امامزاده سید مظفر,امامزاده,بندرعباس,زیارتگاه محلی
