 واحد صنعتی/اقتصادی,نوع فعالیت,موقعیت,تعداد شاغل (تقریبی)
مجتمع کشتی‌سازی و صنایع فراساحل ایران (ISOICO),کشتی‌سازی، تعمیرات، سازه‌های دریایی,غرب بندرعباس,"~5,000"
پالایشگاه نفت بندرعباس,پالایش نفت خام,بندرعباس,"~2,000"
مجتمع پتروشیمی بندرعباس,تولید محصولات پتروشیمی,بندرعباس,"~3,000"
آلومینیوم المهدی,تولید شمش آلومینیوم,بندرعباس,"~1,500"
فولاد هرمزگان,تولید فولاد,بندرعباس,"~2,000"
بندر شهید رجایی,تخلیه و بارگیری کانتینر,غرب بندرعباس,"~10,000"
بندر شهید باهنر,تخلیه و بارگیری عمومی,بندرعباس,"~3,000"
منطقه ویژه اقتصادی بندرعباس,منطقه آزاد تجاری-صنعتی,اطراف بندرعباس,-
بازار ماهی و میگو,صید و فروش آبزیان,بازار ماهی,"~1,000"
بازار صنایع دستی,تولید و فروش صنایع دستی,بازار سنتی,~500
