 زیرساخت,مشخصات,وضعیت
فرودگاه بین‌المللی بندرعباس,پروازهای داخلی و خارجی، 3 ترمینال,فعال
بندر شهید رجایی,بزرگترین بندر کانتینری ایران، ظرفیت 6 میلیون TEU,فعال
بندر شهید باهنر,بندر عمومی، بار فله و کالای عمومی,فعال
ایستگاه راه‌آهن بندرعباس,خط راه‌آهن بندرعباس-تهران (از 1372),فعال
پایانه مسافربری برون‌شهری,اتوبوس‌های برون‌شهری به سراسر کشور,فعال
پایانه مسافربری درون‌شهری,اتوبوس‌های درون‌شهری و تاکسی,فعال
اسکله مسافربری قشم,لنگرگاه قایق‌های مسافربری به جزیره قشم,فعال
اسکله مسافربری هرمز,لنگرگاه قایق‌های مسافربری به جزیره هرمز,فعال
اسکله مسافربری کیش,لنگرگاه قایق‌های مسافربری به جزیره کیش,فعال
جاده بندرعباس-شیراز,650 کیلومتر، محور اصلی شمال,آسفالته
جاده بندرعباس-سیرجان,300 کیلومتر، به سمت کرمان,آسفالته
جاده بندرعباس-کرمان,484 کیلومتر، به سمت کرمان,آسفالته
جاده بندرعباس-زاهدان,722 کیلومتر، به سمت سیستان و بلوچستان,آسفالته
بزرگراه بندرعباس-سیرجان,بزرگراه در دست احداث,در حال ساخت
