 اداره/سازمان,نوع خدمت,موقعیت
استانداری هرمزگان,مدیریت استان,بندرعباس
فرمانداری شهرستان بندرعباس,مدیریت شهرستان,بندرعباس
شهرداری بندرعباس,مدیریت شهری,بندرعباس
اداره کل راه و شهرسازی,راه‌سازی و شهرسازی,بندرعباس
اداره کل آموزش و پرورش,آموزش,بندرعباس
اداره کل بهداشت و درمان,بهداشت,بندرعباس
اداره کل ورزش و جوانان,ورزش,بندرعباس
اداره کل میراث فرهنگی,میراث فرهنگی,بندرعباس
اداره کل صنعت، معدن و تجارت,صنعت و تجارت,بندرعباس
اداره کل کار، تعاون و رفاه اجتماعی,کار و رفاه,بندرعباس
اداره کل اوقاف و امور خیریه,اوقاف,بندرعباس
اداره کل ثبت احوال,ثبت احوال,بندرعباس
اداره کل پست,پست,بندرعباس
اداره کل برق,برق,بندرعباس
اداره کل آب و فاضلاب,آب,بندرعباس
اداره کل گاز,گاز,بندرعباس
اداره کل مخابرات,مخابرات,بندرعباس
سازمان آتش‌نشانی,آتش‌نشانی,بندرعباس
سازمان پسماند,پسماند,بندرعباس
سازمان پارک‌ها و فضای سبز,فضای سبز,بندرعباس
سازمان اتوبوسرانی,حمل‌ونقل عمومی,بندرعباس
سازمان میادین میوه و تره‌بار,بازار میوه,بندرعباس
پلیس راهور,ترافیک,بندرعباس
پلیس انتظامی (فرماندهی),انتظامی,بندرعباس
کلانتری‌های شهر,انتظامی محلی,سراسر شهر
