ص,مقدار,توضیحات
جمعیت کل شهر بندرعباس (1395),"526,648",بر اساس سرشماری
جمعیت ساکن در بافت فرسوده و سکونتگاه غیررسمی,"~240,000+",برآورد رسمی - 46% جمعیت شهر
درصد حاشیه‌نشینی,~46%,نسبت به کل جمعیت شهری
تراکم جمعیت شهری (نفر/km²),"~12,000",نزدیک به تراکم مشهد
تراکم جمعیت استان (نفر/km²),25,میانگین استان
تعداد کلانتری,10+,پوشش سراسری شهر
تعداد پاسگاه انتظامی,5+,پوشش مناطق حاشیه‌ای
تعداد ایستگاه آتش‌نشانی,3+,پوشش مناطق مختلف
تعداد خانه بهداشت,20+,پوشش محلات
تعداد مرکز بهداشتی-درمانی,10+,پوشش مناطق
تعداد مدرسه دولتی,100+,پوشش آموزش
تعداد مدرسه غیردولتی,50+,پوشش آموزش
