"بیمارستان"," بیمارستان/مرکز","منطقه/آدرس","ویژگی"
"بیمارستان","بیمارستان شهید محمدی","بلوار جمهوری اسلامی","بزرگترین بیمارستان دولتی"
"بیمارستان","بیمارستان سیدالشهدا","بندرعباس","بیمارستان دولتی"
"بیمارستان","بیمارستان خلیج فارس","بندرعباس","بیمارستان دولتی"
"بیمارستان","بیمارستان شریعتی","بندرعباس","بیمارستان دولتی"
"بیمارستان","بیمارستان کودکان بندرعباس","بندرعباس","تنها بیمارستان کودکان استان"
"بیمارستان","بیمارستان سینا","بندرعباس","بیمارستان خصوصی"
"بیمارستان","بیمارستان نورنجات","بندرعباس","بیمارستان خصوصی"
"بیمارستان","بیمارستان ماتینی","بندرعباس","بیمارستان خصوصی"
"بیمارستان","بیمارستان امام خمینی (پایگاه اورژانس)","بندرعباس","پایگاه اورژانس 115"
"بیمارستان","کلینیک تخصصی شهید رجایی","نزدیک بندر شهید رجایی","خدمات درمانی کارکنان بندر"
"مرکز خرید"," مرکز خرید/بازار","موقعیت","ویژگی"
"مرکز خرید","بازار سنتی بندرعباس","بلوار طالقانی، مقابل اسکله شهید حقانی","ادویه، صنایع دستی، لباس محلی، گلابتون‌دوزی"
"مرکز خرید","بازار ماهی بندرعباس","انتهای بازار سنتی، بلوار طالقانی","ماهی تازه، میگو، خرچنگ، صدف"
"مرکز خرید","سیتی سنتر بندرعباس","بلوار پاسداران","سوغاتی، لباس، عطر"
"مرکز خرید","بندرعباس مال","منطقه 1، شرق بندرعباس","بزرگترین مرکز خرید، سینما، فودکورت، پارکینگ"
"مرکز خرید","مجتمع ستاره جنوب","بلوار طالقانی","سینما، شهربازی سرپوشیده، رستوران"
"مرکز خرید","مجتمع ستاره شهر","خیابان 4 باغ، خیابان بهادر شمالی","طلا و جواهر، برندهای لوکس"
"مرکز خرید","زیتون مال","تقاطع خیابان زیتون","لباس، کفش، تجهیزات شکار، عکاسی"
"مرکز خرید","سیتی استار کمپلکس","نزدیک سیتی سنتر","سینما، رستوران، فست‌فود"
"مرکز خرید","هایپراستار (در بندرعباس مال)","داخل بندرعباس مال","مواد غذایی، لوازم روزانه"
"مرکز خرید","بازار لارستانی","بندرعباس","کالاهای محلی"
"پارک"," پارک/مکان تفریحی","موقعیت","ویژگی"
"پارک","پارک ساحلی بندرعباس","ساحل شهر","پیاده‌رو ساحلی، محوطه پیک‌نیک، ورزش"
"پارک","باغ پرندگان بندرعباس","بندرعباس","گونه‌های متنوع پرندگان"
"پارک","ساحل لارک","نزدیک بندرعباس","ساحل شنی، طبیعت بکر"
"پارک","پارک جنگلی هرمزگان","بندرعباس","فضای سبز، محوطه استراحت"
"پارک","استادیوم تختی","بندرعباس","ورزشگاه اصلی فوتبال"
"پارک","استادیوم شهید بهشتی","بندرعباس","ورزشگاه چندمنظوره"
"پارک","سینما ستاره جنوب","مجتمع ستاره جنوب","سالن سینمای مدرن"
"پارک","سینما بندرعباس مال","بندرعباس مال","سالن سینمای مدرن"
"پارک","شهربازی ستاره جنوب","مجتمع ستاره جنوب","شهربازی سرپوشیده"
