�یف,نام واحد صنعتی/اقتصادی,نوع فعالیت,موقعیت,تعداد شاغل (تقریبی),محصول/خدمت اصلی
1,ISOICO (مجتمع کشتی‌سازی),کشتی‌سازی و تعمیرات,غرب بندرعباس (37 کیلومتر),"~5,000",کشتی، سکوی نفتی
2,پالایشگاه نفت بندرعباس,پالایش نفت خام,بندرعباس,"~2,000",بنزین، گازوئیل
3,مجتمع پتروشیمی بندرعباس,تولید محصولات پتروشیمی,بندرعباس,"~3,000",پلی‌اتیلن، PVC
4,آلومینیوم المهدی,تولید شمش آلومینیوم,غرب بندرعباس (15 کیلومتر),"~2,500",شمش آلومینیوم
5,فولاد هرمزگان,تولید فولاد,بندرعباس,"~2,000",میلگرد، تیرآهن
6,بندر شهید رجایی,تخلیه و بارگیری کانتینر,غرب بندرعباس,"~10,000",کانتینر
7,بندر شهید باهنر,تخلیه و بارگیری عمومی,بندرعباس,"~3,000",کالای عمومی
8,منطقه ویژه اقتصادی,منطقه آزاد تجاری-صنعتی,اطراف بندرعباس,-,تجارت آزاد
9,بازار ماهی و میگو,صید و فروش آبزیان,بازار ماهی,"~1,000",ماهی، میگو
10,بازار صنایع دستی,تولید و فروش صنایع دستی,بازار سنتی,~500,گلابتون‌دوزی، حصیر
11,کارخانه سیمان هرمزگان,تولید سیمان,بندرعباس,~800,سیمان
12,کارخانه کود شیمیایی,تولید کود,بندرعباس,~500,کود اوره
13,مجتمع صنایع غذایی,بسته‌بندی مواد غذایی,بندرعباس,~600,کنسرو ماهی
14,کارخانه یخ‌سازی,تولید یخ برای صیادی,بندرعباس,~200,یخ صنعتی
15,شرکت کشتیرانی,حمل و نقل دریایی,بندرعباس,"~1,500",حمل کالا
