ه,سال,رویداد/توسعه,جمعیت (تقریبی)
قبل از اسلام,قبل 650,بندر گمبرون - مرکز تجاری منطقه,"5,000"
دوره اسلامی,650-1500,رونق تجارت دریایی,"10,000"
دوره صفوی (1622),1622,شاه عباس صفوی بندر را تصرف کرد و نام آن را بندرعباس گذاشت,"15,000"
دوره قاجار,1794-1925,توسعه بندر توسط انگلیسی‌ها,"20,000"
دوره پهلوی اول,1925-1941,توسعه راه‌آهن و بندر,"30,000"
دوره پهلوی دوم,1941-1979,توسعه نیروی دریایی و بندر شهید رجایی,"100,000"
پس از انقلاب (1357),1979-1989,جنگ ایران و عراق - رونق تجارت,"200,000"
دهه 60,1989-1999,توسعه صنایع و زیرساخت,"300,000"
دهه 70,1999-2009,توسعه مناطق آزاد (کیش، قشم),"400,000"
دهه 80,2009-2019,توسعه پتروشیمی و ISOICO,"500,000"
دهه 90,2019-2029,توسعه گردشگری دریایی,"600,000"
دهه 1400,2020-2030,توسعه اقتصاد دریایی - انفجار بندر (2025),"700,000+"
