�یف,نام اسکله/بندر,نوع,موقعیت,مسافت تا مرکز (km),زمان سفر با قایق
1,اسکله شهید حقانی,مسافربری-تجاری,بندرعباس (بلوار طالقانی),0 (مرکز),-
2,اسکله شهید رجایی,تجاری-کانتینری,غرب بندرعباس,37,-
3,اسکله شهید باهنر,تجاری-عمومی,بندرعباس,5,-
4,اسکله مسافربری قشم,مسافربری,قشم (بندر درگهان),قشم,45 دقیقه از بندرعباس
5,اسکله مسافربری کیش,مسافربری,کیش,کیش,1 ساعت از بندرلنگه
6,اسکله مسافربری هرمز,مسافربری,بندر هرمز,18 (دریایی),30 دقیقه از بندرعباس
7,اسکله مسافربری هنگام,مسافربری,جزیره هنگام,قشم,1 ساعت از قشم
8,بندر چارک,مسافربری-صیادی,بندرلنگه,80,2 ساعت از بندرلنگه
9,بندر لاوان,صیادی-تجاری,بندرلنگه,100,1.5 ساعت
10,بندر سیریک,صیادی,سیریک,250,3 ساعت از بندرعباس
11,بندر جاسک,صیادی-نظامی,جاسک,300,4 ساعت
12,بندر کنگ,صیادی-تجاری,بندرلنگه,90,1.5 ساعت
13,بندر خمیر,صیادی,خمیر,100,1.5 ساعت
14,بندر میناب (تیاب),صیادی,میناب,80,1 ساعت
15,بندر کلام (ابوموسی),صیادی-نظامی,ابوموسی,222,8 ساعت
