�یف,نام مرکز درمانی,نوع,منطقه,تعداد تخت (تقریبی)
1,بیمارستان شهید محمدی,عمومی-تخصصی,منطقه 3,~500
2,بیمارستان سیدالشهدا,عمومی-تخصصی,منطقه 2,~300
3,بیمارستان خلیج فارس,عمومی-تخصصی,منطقه 3,~250
4,بیمارستان شریعتی,عمومی-تخصصی,منطقه 3,~200
5,بیمارستان کودکان بندرعباس,تخصصی-آموزشی کودکان,منطقه 3,~150
6,بیمارستان سینا,خصوصی,منطقه 1,~100
7,بیمارستان نورنجات,خصوصی,منطقه 1,~80
8,بیمارستان ماتینی,خصوصی,منطقه 2,~80
9,بیمارستان امام خمینی,عمومی,منطقه 4,~200
10,کلینیک تخصصی شهید رجایی,تخصصی صنعتی,منطقه 4,~50
11,درمانگاه شبانه‌روزی,عمومی,سراسر شهر,-
12,آزمایشگاه تشخیص طبی,تشخیصی,سراسر شهر,-
13,داروخانه 13 آبان,داروخانه,سراسر شهر,-
14,مرکز اورژانس 115,اورژانس,سراسر شهر,-
15,پایگاه بهداشت,بهداشتی,سراسر شهر,-
