 مرکز خرید/بازار,نوع,موقعیت,متراژ/تعداد واحد,ساعت کاری,ویژگی
بازار سنتی بندرعباس,بازار سنتی,بلوار طالقانی، مقابل اسکله شهید حقانی,بزرگ، کوچه‌های باریک و قدیمی,9 صبح تا نیمه شب,ادویه، صنایع دستی، لباس محلی، گلابتون‌دوزی
بازار ماهی بندرعباس,بازار تخصصی ماهی,انتهای بازار سنتی، بلوار طالقانی,بخش جدید بازار,9 صبح تا 8 عصر,ماهی تازه، میگو، خرچنگ، صدف
سیتی سنتر بندرعباس,مرکز خرید مدرن,بلوار پاسداران,متوسط,10 صبح تا 11 شب,سوغاتی، لباس، عطر
بندرعباس مال,مرکز خرید مدرن,منطقه 1، شرق بندرعباس,"21,182 m² فروش، 80,861 m² زیربنا، 100 واحد",9 صبح تا 11:30 شب,بزرگترین مرکز خرید، سینما، فودکورت، پارکینگ
مجتمع ستاره جنوب,مرکز خرید مدرن,بلوار طالقانی,بزرگ، سینما، شهربازی,9 صبح تا 11 شب,سینما، شهربازی سرپوشیده، رستوران
مجتمع ستاره شهر,مرکز خرید مدرن,خیابان 4 باغ، خیابان بهادر شمالی,3 طبقه، 400 واحد تجاری,9 صبح تا 11 شب,طلا و جواهر، برندهای لوکس
زیتون مال,مرکز خرید مدرن,تقاطع خیابان زیتون,متوسط,10 صبح تا 10 شب,لباس، کفش، تجهیزات شکار، عکاسی
سیتی استار کمپلکس,مرکز خرید مدرن,نزدیک سیتی سنتر,بزرگ,9 صبح تا 11 شب,سینما، رستوران، فست‌فود
هایپراستار (در بندرعباس مال),هایپرمارکت,داخل بندرعباس مال,هایپرمارکت لوکس,7 صبح تا 10 شب,مواد غذایی، لوازم روزانه
بازار لارستانی,بازار سنتی,بندرعباس,بازار محلی,صبح تا شب,کالاهای محلی
