 مکان,نوع,موقعیت,ویژگی
مسجد جامع بندرعباس,مسجد جامع,مرکز شهر,مسجد اصلی شهر
مسجد امام خمینی,مسجد,بندرعباس,مسجد بزرگ
مسجدالنبی,مسجد,بندرعباس,مسجد محلی
امامزاده سید مظفر,امامزاده,بندرعباس,زیارتگاه مهم
امامزاده سید محمد,امامزاده,بندرعباس,زیارتگاه
معبد هندوها,معبد هندو,بندرعباس,معبد قدیمی هندوهای ساکن بندرعباس
کلیسای ارامنه,کلیسا,بندرعباس,کلیسای ارامنه ساکن
حسینیه مرکزی,حسینیه,بندرعباس,مرکز برگزاری مراسم عزاداری
تکیه بزرگ,تکیه,بندرعباس,تکیه قدیمی
آرامستان وادی رحمت,آرامستان,بندرعباس,آرامستان اصلی شهر
