 مکان,عرض جغرافیایی,طول جغرافیایی,نوع
مرکز شهر (میدان شهدا),27.1961,56.2878,نقطه مرکزی
بندر شهید رجایی,27.1167,56.2333,بندر
بندر شهید باهنر,27.15,56.25,بندر
فرودگاه بین‌المللی,27.2183,56.3778,فرودگاه
دانشگاه هرمزگان,27.18,56.3,دانشگاه
بیمارستان شهید محمدی,27.2,56.29,بیمارستان
بازار سنتی,27.195,56.285,بازار
سیتی سنتر,27.19,56.28,مرکز خرید
بندرعباس مال,27.185,56.275,مرکز خرید
ISOICO,27.1,56.2,صنعت
پالایشگاه نفت,27.13,56.22,صنعت
ایستگاه راه‌آهن,27.21,56.32,حمل‌ونقل
پایانه مسافربری,27.2,56.3,حمل‌ونقل
معبد هندوها,27.198,56.29,مکان تاریخی
ساحل لارک,27.05,56.35,ساحل
پارک ساحلی,27.18,56.27,پارک
امامزاده سید مظفر,27.195,56.288,مذهبی
هتل هما,27.19,56.285,هتل
هتل هرمز,27.195,56.29,هتل
استادیوم تختی,27.185,56.28,ورزشگاه
