ص,مقدار
نام شهر,بندرعباس
نام‌های قدیمی,گمبرون، کامبرون، بندر شاه (قبل انقلاب)
نام انگلیسی,Bandar Abbas
مرکز استان,بله - مرکز استان هرمزگان
استان,هرمزگان
جمعیت شهر (1395),"526,648"
جمعیت شهر (2024 برآورد),"~678,000"
جمعیت شهر (2026 برآورد),"~702,000"
جمعیت کلان‌شهر (2026),"~702,000"
نرخ رشد سالانه,~2.2%
مساحت شهر (km²),~80
تراکم جمعیت (نفر/km²),"~8,775"
ارتفاع از سطح دریا,9 متر
عرض جغرافیایی,27.1961°N
طول جغرافیایی,56.2878°E
کد پستی,79177
پیش‌شماره تلفن,076
منطقه زمانی,UTC+3:30
اقلیم,بیابانی گرم و مرطوب
میانگین دمای تابستان,35-45°C
میانگین دمای زمستان,15-20°C
میانگین بارندگی سالانه,200-250 میلی‌متر
رطوبت نسبی,65-75%
زبان اصلی,فارسی
گویش محلی,گویش بندری (با واژگان عربی، بلوچی، انگلیسی)
مذهب غالب,شیعه (اکثریت)
فرقه‌های مذهبی,سنی، هندو، مسیحی (اقلیت)
ترکیب قومی,بندری (40%)، تهرانی (30%)، محلی (15%)، ترکیبی (14%)، بلوچی (1%)
