�یف,نام محله,نام قدیم/محلی,منطقه شهری,بخش,نوع بافت
1,بازار,بازار قدیم/بازار پرتغالی‌ها,منطقه 3,مرکزی,تاریخی
2,قلعه,قلعه پرتغالی‌ها,منطقه 3,مرکزی,تاریخی
3,چاه‌سوال,چاه سوال (چاه آب),منطقه 3,مرکزی,فرسوده
4,گلشهر,گل‌محله,منطقه 1,مرکزی,نوساز
5,پاسداران,خیابان اصلی شمال,منطقه 1,مرکزی,نیمه‌نوساز
6,شهید رجایی,محله کارگران بندر,منطقه 4,مرکزی,صنعتی
7,فردوسی,محله فردوس,منطقه 2,مرکزی,نیمه‌نوساز
8,امام خمینی,محله امام,منطقه 3,مرکزی,نیمه‌نوساز
9,میدان شهدا,میدان توپخانه,منطقه 3,مرکزی,مختلط
10,طالقانی,خیابان شاه,منطقه 3,مرکزی,مختلط
11,بهشتی,محله بهشت,منطقه 2,مرکزی,نیمه‌نوساز
12,جمهوری اسلامی,خیابان اصلی,منطقه 3,مرکزی,مختلط
13,انقلاب,خیابان پهلوی,منطقه 3,مرکزی,نیمه‌نوساز
14,مفتح,خیابان مصدق,منطقه 2,مرکزی,نیمه‌نوساز
15,ستارخان,محله ستار,منطقه 2,مرکزی,نیمه‌نوساز
16,کارگر,محله کارگران,منطقه 2,مرکزی,کارگری
17,نیروی دریایی,پایگاه دریایی,منطقه 4,مرکزی,نظامی
18,سنگ‌چی,محله سنگ‌فروشان,منطقه 3,مرکزی,تجاری
19,زیتون,باغ زیتون,منطقه 2,مرکزی,نیمه‌نوساز
20,کوی ملت,کوی ملت,منطقه 1,مرکزی,نوساز
21,شهرک صنعتی,ISOICO,منطقه 4,مرکزی,صنعتی
22,تازیان,روستای تازیان,منطقه 4,مرکزی,روستایی-شهری
23,سرخون,روستای سرخون,منطقه 4,مرکزی,روستایی-شهری
24,سیاهو,روستای سیاهو,منطقه 4,مرکزی,روستایی-شهری
25,توحید,شهرک کارمندان,منطقه 1,مرکزی,نوساز
26,امام رضا,شهرک جدید غرب,منطقه 1,مرکزی,نوساز
27,عادی,شهرک قدیمی,منطقه 4,مرکزی,فرسوده
28,شش‌ترک,شهرک صنعتی,منطقه 4,مرکزی,صنعتی
29,آلومینیوم,مسکن آلومینیوم,منطقه 4,مرکزی,صنعتی
30,ندسا,شهرک نظامیان,منطقه 4,مرکزی,نظامی
31,گچین,روستای گچین,منطقه 4,مرکزی,روستایی
32,ایسین,روستای ایسین,منطقه 4,مرکزی,روستایی
33,قلعه قاضی,قلعه قاضی,منطقه 4,قلعه قاضی,شهری
34,تخت,تخت,منطقه 4,تخت,شهری
35,فین,فین,منطقه 4,فین,شهری
36,شمیل,شمیل,منطقه 4,شمیل,روستایی
37,حسن لنگی,حسن لنگی,منطقه 4,شمیل,روستایی
38,جلابی,جلابی,منطقه 4,تخت,روستایی
39,دهنو,دهنو,منطقه 4,قلعه قاضی,روستایی
40,گهره,گهره,منطقه 4,فین,روستایی
41,بندزرک,بندزرک,منطقه 4,مرکزی,روستایی
42,سندرک,سندرک,منطقه 4,مرکزی,روستایی
43,هشت‌بندی,هشت‌بندی,منطقه 4,مرکزی,شهری
44,تیرور,تیرور,منطقه 4,مرکزی,شهری
45,بیکاه,بیکاه,منطقه 4,رودان,شهری
46,بالاشهر,بالاشهر,منطقه 4,رودان,شهری
47,زیارتعلی,زیارتعلی,منطقه 4,رودان,شهری
48,فارغان,فارغان,منطقه 4,حاجی‌آباد,شهری
49,احمدی,احمدی,منطقه 4,حاجی‌آباد,روستایی
50,جناح,جناح,منطقه 4,بستک,شهری
