�یف,نام مرکز ورزشی,نوع,موقعیت,ظرفیت/مساحت
1,استادیوم تختی,استادیوم فوتبال,منطقه 2,"~10,000 نفر"
2,استادیوم شهید بهشتی,استادیوم چندمنظوره,منطقه 3,"~5,000 نفر"
3,سالن ورزشی شهید قندی,سالن سرپوشیده,منطقه 1,"~2,000 نفر"
4,استخر شهید رجایی,استخر شنا,منطقه 4,~500 نفر
5,باشگاه بدنسازی المپیک,باشگاه بدنسازی,منطقه 1,~200 نفر
6,زمین چمن مصنوعی توحید,زمین فوتبال,منطقه 1,استاندارد
7,سالن والیبال شهید باهنر,سالن والیبال,منطقه 2,"~1,000 نفر"
8,پیست دوچرخه‌سواری,پیست دوچرخه,منطقه 4,400 متر
9,سالن کشتی,سالن کشتی,منطقه 3,~500 نفر
10,زمین تنیس,زمین تنیس,منطقه 1,4 زمین
